Id,Brand,Model,Rank,Benchmark
1999,Intel,Core i7-4930MX,292,70.2
2000,Intel,Xeon E5-2630 v3,291,70.3
2001,Intel,Core i7-1160G7,290,70.4
2002,Intel,Xeon E31220,297,69.8
2003,Intel,Core i7-4770T,289,70.4
2004,Intel,Xeon X5667,287,70.5
2005,Intel,Xeon E31230,286,70.5
2006,Intel,Core i3-7300,285,70.6
2007,Intel,Core i7-6920HQ,284,70.8
2008,AMD,Ryzen 3 3200G,283,70.8
2009,Intel,Core i5-4460,282,70.9
2010,Intel,Core i5-4570S,281,70.9
2011,Intel,Core i7 880,288,70.4
2012,Intel,Core i7 965,280,70.9
2013,Intel,Xeon E5-2643 0,298,69.7
2014,Intel,Xeon E31225,300,69.7
2015,AMD,Ryzen 5 1500X,316,68.7
2016,Intel,Core i7-4900MQ,315,68.9
2017,Intel,Core i5-6400,314,68.9
2018,Intel,Core i7-7820HQ,313,68.9
2019,Intel,Xeon X5570,312,69
2020,Intel,Core i5-3470S,311,69.1
2021,Intel,Core i3-7101E,310,69.1
2022,Intel,Xeon X3470,299,69.7
2023,Intel,Core i5-10310U,309,69.3
2024,Intel,Core i3-6320,307,69.4
2025,Intel,Core i7-5700HQ,306,69.4
2026,Intel,Core i5-3450S,305,69.5
2027,Intel,Core i5-4440,304,69.5
2028,Intel,Core i5-3475S,303,69.5
2029,Intel,Core i5-7500T,302,69.6
2030,Intel,Pentium Gold G5600,301,69.6
2031,Intel,Core i7-6820HK,308,69.3
2032,Intel,Core i7-8850H,161,77.4
2033,Intel,Core i7-7920HQ,279,70.9
2034,Intel,Core i5-8279U,277,71
2035,Intel,Core i5-4590S,256,72.1
2036,Intel,Xeon E3-1225 v3,255,72.2
2037,Intel,Xeon W3570,254,72.2
2038,Intel,Core i3-7320,253,72.2
2039,Intel,Xeon E3-1220 v3,252,72.3
2040,Intel,Xeon X5650,251,72.3
2041,Intel,Core i5-3550,250,72.3
2042,AMD,Ryzen 5 2500X,257,72.1
2043,AMD,Ryzen 5 1600,249,72.4
2044,Intel,Xeon E31270,247,72.6
2045,Intel,Core i3-8100T,246,72.7
2046,Intel,Core i7-10710U,245,72.8
2047,Intel,Xeon X5660,244,72.8
2048,AMD,Ryzen 5 3400G,243,72.8
2049,Intel,Xeon E5-1620 v2,242,72.9
2050,AMD,Ryzen 5 4600U,241,73
2051,Intel,Core i7-6700T,248,72.5
2052,Intel,Core i5-2500,278,71
2053,Intel,Core i5-7400,258,71.9
2054,Intel,Core i7-4790T,260,71.7
2055,Intel,Core i5-3470,276,71
2056,Intel,Core i7-3940XM,275,71
2057,Intel,Core i5-2450P,274,71.1
2058,Intel,Core i3-7350K,273,71.2
2059,Intel,Xeon E5-1620 0,272,71.2
2060,Intel,Xeon E3-1220 V2,271,71.4
2061,Intel,Core i7-4940MX,270,71.4
2062,Intel,Core i5-8305G,259,71.9
2063,Intel,Pentium Gold G6500,269,71.5
2064,Intel,Core i5-6500,267,71.5
2065,Intel,Core i7-3770S,266,71.5
2066,Intel,Xeon E3-1225 V2,265,71.6
2067,Intel,Pentium Gold G6400,264,71.6
2068,Intel,Core i7-2600,263,71.6
2069,AMD,Ryzen 7 1700,262,71.6
2070,Intel,Core i7 975,261,71.7
2071,Intel,Xeon E3-1240,268,71.5
2072,Intel,Xeon E3-1271 v3,160,77.5
2073,Intel,Xeon E3-1276 v3,159,77.5
2074,Intel,Core i7-4770K,158,77.7
2075,Intel,Core i9-10900T,57,86.6
2076,Intel,Core i7-6950X,56,86.9
2077,Intel,Core i9-9920X,55,86.9
2078,AMD,Ryzen 7 3700X,54,87
2079,Intel,Core i9-10900X,53,87
2080,Intel,Core i3-10300,52,87.3
2081,Intel,Core i7-6900K,51,87.5
2082,Intel,Core i9-9940X,58,86.5
2083,Intel,Core i5-10600T,50,87.6
2084,Intel,Core i9-10920X,48,87.6
2085,AMD,Ryzen 9 3950X,47,87.7
2086,Intel,Core i7-7740X,46,87.8
2087,Intel,Core i7-7700K,45,87.9
2088,Intel,Core i7-10875H,44,88
2089,Intel,Core i5-8600,43,88.1
2090,Intel,Core i9-10940X,42,88.3
2091,AMD,Ryzen 7 3800X,49,87.6
2092,AMD,Ryzen 9 3900X,41,88.5
2093,AMD,Ryzen 5 3600XT,59,86.4
2094,Intel,Core i7-10700T,61,86.3
2095,Intel,Core i7-10850H,77,84.7
2096,Intel,Core i5-8400,76,84.7
2097,Intel,Core i9-7960X,75,84.8
2098,AMD,Ryzen 9 4900HS,74,84.9
2099,AMD,Ryzen 5 3600X,73,85
2100,AMD,Ryzen 5 3500X,72,85.1
2101,Intel,Core i9-9900X,71,85.1
2102,Intel,Core i5-8500,60,86.3
2103,Intel,Core i7-10750H,70,85.1
2104,Intel,Core i9-10885H,68,85.2
2105,Intel,Core i3-10100F,67,85.3
2106,Intel,Core i7-6850K,66,85.5
2107,Intel,Core i5-7640X,65,85.7
2108,Intel,Core i5-9400,64,85.9
2109,Intel,Core i9-9960X,63,85.9
2110,Intel,Core i5-9400F,62,86.1
2111,AMD,Ryzen TR 3960X,69,85.2
2112,Intel,Core i5-10500T,78,84.5
2113,AMD,Ryzen 9 3900XT,40,88.6
2114,Intel,Core i5-10400F,38,88.8
2115,Intel,Core i5-10600KF,17,95.9
2116,AMD,Ryzen 5 5600X,16,96.7
2117,Intel,Core i7-9700K,15,97.5
2118,Intel,Core i7-9700KF,14,97.6
2119,Intel,Core i9-10900,13,97.9
2120,Intel,Core i9-10900F,12,98.1
2121,Intel,Core i9-9900KF,11,98.2
2122,Intel,Core i5-10600K,18,95.6
2123,Intel,Core i9-9900K,10,98.5
2124,Intel,Core i7-10700KF,8,98.7
2125,AMD,Ryzen 7 5800X,7,99.6
2126,AMD,Ryzen 9 5950X,6,100
2127,AMD,Ryzen 9 5900X,5,101
2128,Intel,Core i9-10900KF,4,101
2129,Intel,Core i9-10850K,3,101
2130,Intel,Core i9-9900KS,2,101
2131,Intel,Core i7-10700K,9,98.6
2132,Intel,Core i5-10400,39,88.6
2133,Intel,Core i7-10700,19,95.5
2134,Intel,Core i9-9900,21,94.5
2135,Intel,Core i9-10980HK,37,89.2
2136,Intel,Core i5-9500,36,89.3
2137,AMD,Ryzen 7 3800XT,35,89.3
2138,Intel,Core i3-10320,34,89.4
2139,Intel,Core i7-8700,33,89.4
2140,Intel,Core i3-9350KF,32,90.2
2141,Intel,Core i5-10500,31,91.4
2142,Intel,Core i7-10700F,20,95.1
2143,Intel,Core i5-8600K,30,91.9
2144,Intel,Core i7-9700F,28,93.4
2145,Intel,Core i7-9700,27,93.4
2146,Intel,Core i5-10600,26,93.5
2147,Intel,Core i5-9600KF,25,94
